tactic,district_count,action_count,matched_action_dollars,examples
Attendance Platforms,1,1,0.00,Cambrian School District: Enhancing Student Attendance through A2A Implementation
Attendance Teams / Protocols,4,5,78364.00,"Cupertino Union Elementary School District: Attendance Messaging, Protocols and Site Teams | Evergreen Elementary School District Board of Trustees: Attendance and re- engagement | Mountain View Whisman School District: Improving Attendance Rates"
Home Visits,2,2,143416.00,Alum Rock Union Elementary School District: Home visits | Mountain View Whisman School District: Addressing Chronic Absenteeism Differentiated Assistance
Liaisons / Family Support,5,6,1440385.00,Evergreen Elementary School District Board of Trustees: Attendance and re- engagement | Evergreen Elementary School District Board of Trustees: Re-Engagement Plan (This action has been moved to Action 2.2.) | Gilroy Unified School District: Attendance
Messaging / Outreach,6,7,835899.00,"Cambrian School District: Enhancing Student Attendance through A2A Implementation | Cambrian School District: Enrollment/Engagem ent & Support Specialist for Improving Attendance | Cupertino Union Elementary School District: Attendance Messaging, Protocols and Site Teams"
SART / SARB,4,4,10000.00,East Side Union High School District: Restorative SARB | Loma Prieta Joint Union School District: Attendance Intiatives | Mountain View Whisman School District: Improving Attendance Rates
